VendorID,passenger_count,fare_amount,mean_distance,mean_duration,rush_hour
1,3,17.5,4.576666666666667,24.8,0
1,1,9.5,1.7091666666666667,12.618055555555555,0
2,2,31.5,11.2,22.266666666666666,0
1,1,8.0,1.2333333333333334,5.952777777777778,0
2,2,8.5,0.9757777777777779,11.678518518518517,1
2,3,16.5,5.8225,19.97083333333333,0
2,1,6.5,0.9544444444444444,7.5895061728395055,0
2,1,8.0,1.6966666666666665,9.793055555555556,0
1,1,8.0,1.3214285714285714,9.417460317460318,0
1,1,4.5,0.5986363636363636,4.582575757575757,0
1,1,5.0,1.0392063492063492,8.184126984126985,1
2,1,17.0,4.96,17.266666666666666,0
1,1,16.0,4.92,20.589583333333334,1
1,1,30.5,9.6,26.933333333333334,1
1,1,17.5,3.0533333333333332,16.555555555555557,0
2,2,8.0,2.0875,12.104166666666666,0
1,1,39.0,13.8,30.583333333333332,0
1,1,14.5,1.3761538461538463,11.526923076923076,1
2,2,6.5,1.0116216216216216,7.7081081081081075,1
2,1,7.0,1.5607142857142857,14.825000000000001,0
2,1,10.0,1.181904761904762,10.54047619047619,0
2,1,9.5,1.4741666666666666,11.185648148148148,0
1,1,34.5,10.82,38.91568627450981,0
2,1,7.0,1.1981818181818182,8.977272727272727,0
2,1,8.0,1.1422222222222222,9.70185185185185,1
2,3,31.0,11.485,30.950000000000003,0
1,1,12.5,1.8784210526315788,19.952631578947365,0
1,1,18.5,4.7,23.583333333333332,0
1,1,19.5,4.1975,27.922916666666666,0
1,1,12.5,2.761428571428571,16.385714285714286,1
2,2,8.0,1.2175,8.466666666666667,1
1,2,13.0,1.8960000000000001,17.513333333333332,0
2,1,24.0,6.93,24.983333333333334,0
2,6,13.5,2.052258064516129,11.855376344086022,0
1,1,52.0,19.229,52.94166666666666,0
2,6,22.5,3.9433333333333334,19.477777777777778,0
1,1,9.5,1.3766666666666667,11.138888888888888,0
2,6,4.5,0.5428571428571428,3.9309523809523808,0
1,2,7.0,1.1286666666666667,4.945555555555556,1
2,6,11.5,3.0500000000000003,11.166666666666666,1
2,2,6.5,0.8999999999999999,6.277777777777778,1
2,1,7.0,0.841,9.518333333333334,0
1,1,5.5,1.1063636363636364,6.5621212121212125,0
2,1,20.5,3.0119999999999996,25.669999999999998,1
1,1,9.0,1.9100000000000001,7.832407407407408,0
2,5,12.5,2.964,12.809999999999999,1
2,1,11.5,1.9271428571428573,14.928571428571429,0
